medicine,median
FLUOCINONIDE EMOLLIENT,11.5

SILDENAFIL,15.0

RETIN-A,19.0

IROSPAN,13.5

ERYPED 400,14.5

PREQUE 10,12

XALATAN,13.0

APIDRA SOLOSTAR,15.0

MALATHION,13.5

PENTAZOCINE-NALOXONE HCL,13.0

PYRAZINAMIDE,17.0

PHENAZOPYRIDINE HCL,14.0

EXELDERM,12

DANTROLENE SODIUM,13.0

CEFPROZIL,19.0

THYROLAR-1/2,11

TIGAN,29.0

SINEMET 25-250,12.0

ZUBSOLV,26

FERRIPROX,13.5

KIONEX,17.0

LYSTEDA,18

TAZICEF,14.0

VIMPAT,25.0

LISINOPRIL-HYDROCHLOROTHIAZIDE,24.0

DEXTROSE 5%-NS-KCL,17

CLINDAGEL,12.0

LESSINA,13.0

XOPENEX,14.0

AMITRIPTYLINE HCL,21.0

TRANYLCYPROMINE SULFATE,12.0

PEGASYS PROCLICK,16.0

CLOBETASOL PROPIONATE,20.0

CYCLOSET,17.0

SYMBICORT,23.0

BUPROPION HCL,16.0

EMCYT,14.0

LORZONE,15.0

PHOSLO,12.0

LASIX,12.0

LOTENSIN HCT,13

ACETAZOLAMIDE,13.0

TRACLEER,15.0

SULINDAC,17.0

ASTEPRO,17.0

RYTHMOL SR,12.0

MICROGESTIN FE,13.0

HYPERCARE,12.5

DIAMOX SEQUELS,12.0

COLYTE WITH FLAVOR PACKS,19.0

CAYSTON,14.5

ZIAC,12.0

PROCTOZONE-HC,16.0

LANOXIN,14.0

METADATE CD,12.0

CORTISPORIN-TC,11

METHENAMINE MANDELATE,13.0

ZENPEP,15.0

CLARAVIS,12.5

ZOLPIDEM TARTRATE ER,14.0

CROMOLYN SODIUM,14.0

EASY-TOUCH INSULIN SYRINGE,13.5

ZEMAIRA,13.0

RITALIN LA,12.0

INTUNIV,12.0

NAMENDA,32.0

NORVASC,12.0

CALAN,12.5

ZOLEDRONIC ACID,18.0

DOXIL,13.0

ALOCRIL,12.5

BENICAR,18.0

AMRIX,12.0

CHLORDIAZEPOXIDE HCL,13.0

DILATRATE-SR,13.5

CRINONE,20.5

RETIN-A MICRO,13

RENA-VITE RX,12.0

PRAZOSIN HCL,19.0

NIFEDIPINE,12.0

BD INSULIN SYRINGE MICRO-FINE,12

FLUOCINOLONE ACETONIDE,15.0

NUVARING,12.0

MARLISSA,22.0

POTASSIUM CHLORIDE,30.0

FULYZAQ,13.0

CLOZARIL,14.0

STROVITE ONE,15.0

TROSPIUM CHLORIDE,14.0

TAPAZOLE,12.0

ISENTRESS,36.0

ABELCET,16.0

SEREVENT DISKUS,14.0

SABRIL,13.0

LO LOESTRIN FE,13.0

LAMOTRIGINE,36.0

HYDROMORPHONE HCL,19.0

PULMICORT FLEXHALER,15.0

SF 5000 PLUS,15.0

CEFTAZIDIME,13.0

PROMETHAZINE HCL,19.0

TRANXENE T-TAB,12.0

WELLBUTRIN XL,12.0

KRYSTEXXA,12.5

OXCARBAZEPINE,23.0

RISPERDAL CONSTA,27.0

ULTICARE,15.0

E.E.S. 200,21.0

SINGLE USE SWAB,17.0

ARTHROTEC 75,12.0

METHYLPREDNISOLONE SOD SUCC,15.0

STALEVO 75,12.5

MISOPROSTOL,15.0

RITUXAN,18.0

TRADJENTA,20.0

LOPRESSOR HCT,11

METADATE ER,12

KLOR-CON 8,16.0

CYMBALTA,29.0

NARATRIPTAN HCL,16.0

PAROMOMYCIN SULFATE,85

KEPPRA XR,14.0

COREG CR,16.0

CLOZAPINE ODT,23.0

UNIFINE PENTIPS,16.0

THIOTHIXENE,16.0

LANTUS,25.0

BUDEPRION SR,12.0

BOOSTRIX TDAP,18.0

ALPRAZOLAM,30.0

NASCOBAL,12.5

SYNERA,11

CUPRIMINE,12.0

CYTRA-3,24.5

LIORESAL INTRATHECAL,15

HYOSYNE,14.0

LEUCOVORIN CALCIUM,25.0

PAREGORIC,15.5

SURE-FINE PEN NEEDLES,15.0

KAPVAY,13.0

LATANOPROST,21.0

ZOMETA,15.0

TOLTERODINE TARTRATE,12.0

THIOLA,12.5

BLEPHAMIDE,13.5

HEATHER,12.0

AXIRON,12.5

CYCLAFEM,12.0

FOLBEE,12.5

VICODIN ES,13.0

SALSALATE,16.0

HALOG,15.0

MOVIPREP,39.0

MEFLOQUINE HCL,14.0

LEXIVA,18.0

LIDOCAINE-PRILOCAINE,19.0

MATZIM LA,12.0

ALPRAZOLAM INTENSOL,13.0

HYDROMET,12.0

NORITATE,16.0

BONIVA,12.0

TOBRADEX ST,16.0

ELIPHOS,11.5

BYDUREON,19.0

PRECISION,19

INTELENCE,23.0

CYTARABINE,13.0

CIPROFLOXACIN-D5W,13.0

HECORIA,16.0

INLYTA,14.0

NOVOFINE 32,17.0

VIVITROL,13.5

ORTHO EVRA,13.0

AGRYLIN,11.5

URSO FORTE,12.0

PIOGLITAZONE-METFORMIN,15.0

COLY-MYCIN M PARENTERAL,12

COLCRYS,20.0

FLUOCINONIDE,19.0

PROAIR HFA,26.0

ZAFIRLUKAST,13.0

CARDIZEM,12.0

SOLODYN,11

TANDEM PLUS,38

PEGINTRON,15.0

FEMHRT,13.0

LEUKINE,14.5

THEO-24,13.5

BACTROBAN NASAL,13.0

CAMRESE LO,12

ELIDEL,13.0

CALCIUM CHLORIDE,13

CARAFATE,18.0

JUNEL FE,13.0

SOMAVERT,12.0

HYDROCORTISONE,18.0

ULTRA COMFORT,13.0

OXYBUTYNIN CHLORIDE ER,17.0

VELIVET,13.0

CARBAMAZEPINE ER,14.0

HORIZANT,13.0

LORAZEPAM,29.0

BUTRANS,17.0

METOZOLV ODT,13.0

HIZENTRA,18.0

AZACTAM-ISO-OSMOTIC DEXTROSE,12.0

DUEXIS,15.0

EFFER-K,11

CARDENE SR,12.0

CLOBEX,12.5

NEXIUM,26.0

CEFOXITIN SODIUM,11

CIPRO HC,11.0

BUTISOL SODIUM,12.0

COMETRIQ,15.0

TRETINOIN,16.0

FONDAPARINUX SODIUM,14.0

NORTREL,13.0

IPRATROPIUM BROMIDE,20.0

AYGESTIN,12

GLIMEPIRIDE,26.0

EXFORGE HCT,15.0

LAMIVUDINE-ZIDOVUDINE,19.0

ABRAXANE,16.0

CILOSTAZOL,19.0

MENOMUNE-A-C-Y-W-135,16.0

ESTRING,17.0

DILAUDID-HP,15

ACETYLCYSTEINE,15.0

TRI-ESTARYLLA,13

QNASL,14.0

CARDIOTEK-RX,12

MEPERITAB,12.5

LOSARTAN-HYDROCHLOROTHIAZIDE,23.0

ZANTAC,12.0

LOW-OGESTREL,13.0

MYCOPHENOLATE MOFETIL,18.0

LOXITANE,11.0

CIMETIDINE,13.0

ACARBOSE,16.0

PREDNICARBATE,19.0

FLUPHENAZINE DECANOATE,18.0

MARCAINE,15

LUXIQ,11.5

ESGIC-PLUS,11

ULTRA-THIN II,15.0

SODIUM CITRATE & CITRIC ACID,16.0

REMERON,12.0

PROLIA,19.0

ESTRADIOL-NORETHINDRONE ACETAT,15.0

INTRON A,12.0

FLUCONAZOLE,16.0

VUSION,12.5

VPRIV,20.5

ACETAMINOPH-CAFF-DIHYDROCODEIN,14.5

WATER,15.0

STALEVO 200,13.0

CLONIDINE,15.0

TETANUS-DIPHTERIA-DECAVAC,20.0

TIROSINT,17.0

MINITRAN,13.0

PODOFILOX,14.0

IMIQUIMOD,15.0

VFEND,12.0

BETAPACE AF,12.0

VECTICAL,13.0

MOXATAG,14

VGO 20,14.0

BACIIM,44

ZYTIGA,18.0

XGEVA,15.0

X-VIATE,14.5

ALKERAN,12.0

STAVUDINE,13.0

SPRIX,14.0

LASTACAFT,15.5

PERMETHRIN,16.0

CONZIP,12.0

ANTIPYRINE-BENZOCAINE,13.0

CHOLESTYRAMINE,16.0

MAXALT,13.0

ABILIFY DISCMELT,12.0

TYZEKA,11.5

MOTOFEN,13.0

PHENYTOIN SODIUM,12

BELLADONNA-OPIUM,14.5

CLARINEX,12.0

GUANIDINE HCL,12

CARNITOR,32.0

JOLIVETTE,12.0

XOLAIR,13.0

NEVIRAPINE,15.0

DILTIAZEM ER,17.0

VIORELE,13.0

REYATAZ,32.0

PEG-3350 WITH FLAVOR PACKS,31.0

PICATO,13.5

FOLGARD OS,12.0

VIRAMUNE XR,20.0

MUPIROCIN,18.0

TEVETEN,12.0

OXAZEPAM,13.0

XENICAL,13.5

TRAVOPROST,14.0

NITRO-DUR,12.0

CAPEX SHAMPOO,14.5

ZERIT,13.0

DAYTRANA,12.0

FEMRING,16.0

AZURETTE,12.5

LANTUS SOLOSTAR,26.0

FOSINOPRIL-HYDROCHLOROTHIAZIDE,12.0

GLUMETZA,17.0

FLUDROCORTISONE ACETATE,15.0

ENGERIX-B ADULT,11

DILTIAZEM HCL,16.0

LINDANE,12.0

ONDANSETRON HCL,19.0

OXAPROZIN,15.0

ACTIMMUNE,12.0

LEVALBUTEROL HCL,17.0

TRAMADOL HCL,27.0

PRIFTIN,12.5

DIASTAT ACUDIAL,13.0

DILAUDID,13.0

LORAZEPAM INTENSOL,15.0

MAVIK,11.5

ELIGARD,12.0

TREANDA,19.0

DORZOLAMIDE-TIMOLOL,17.0

PREVIFEM,12.0

COUMADIN,19.0

CORTIFOAM,15.0

VIIBRYD,19.0

SELEGILINE HCL,18.0

EMOQUETTE,13.0

TYGACIL,16.0

DAYPRO,12.0

MEPRON,15.0

STREPTOMYCIN SULFATE,33.0

CATAPRES-TTS 3,12.0

TRILIPIX,17.0

NADOLOL,15.0

BICILLIN L-A,12.0

GILDESS,12.0

DIBENZYLINE,13.0

DICLOFENAC POTASSIUM,15.0

TERAZOSIN HCL,17.0

DERMATOP,12

COMBIVENT,16.0

LACTULOSE,19.0

FAMOTIDINE,20.0

NICOTROL,14.0

SPS,17.0

DIANEAL WITH 1.5% DEXTROSE,37.0

PATADAY,16.0

CAPTOPRIL,14.0

CANDESARTAN-HYDROCHLOROTHIAZID,12.0

ACCOLATE,12.0

RESTASIS,18.0

AZASITE,16.5

MICROGESTIN,13.0

MENTAX,12.0

ENDODAN,12

LORYNA,12.5

MIDAZOLAM HCL,63.0

NEOMYCIN-POLYMYXIN-GRAMICIDIN,18.0

APIDRA,14.0

ELELYSO,19.5

PATANOL,15.0

FLEBOGAMMA DIF,18.0

LACLOTION,15.0

METHYLPHENIDATE HCL,19.0

COLISTIMETHATE SODIUM,14.0

KINERET,12.0

CISPLATIN,17.0

RISPERDAL M-TAB,12.0

PROSOL,48.0

TABLOID,14.0

URSO,11.5

EXTINA,12

SOLARAZE,18.0

DERMA-SMOOTHE-FS,12.0

ZALTRAP,13.0

MINOCYCLINE HCL,17.0

LEVOBUNOLOL HCL,13.5

ARANESP,17.0

PRODIGY PEN NEEDLE,12.0

POLYMYXIN B SUL-TRIMETHOPRIM,14.0

ULTILET INSULIN SYRINGE,14.0

THEOPHYLLINE ANHYDROUS,18.0

IRBESARTAN-HYDROCHLOROTHIAZIDE,13.0

NOVOFINE,15.0

ENJUVIA,12.0

AMILORIDE HCL,14.0

LEUKERAN,15.0

XELJANZ,15.0

TRI-PREVIFEM,12.0

NEOMYCIN-POLYMYXIN-HC,15.0

NASONEX,17.0

NITROGLYCERIN,14.0

BD ULTRA-FINE PEN NEEDLE,24.0

FAMCICLOVIR,13.0

TOBRADEX,15.5

FLURBIPROFEN SODIUM,16.0

NICOTROL NS,14.0

TEKTURNA HCT,13.0

ZOVIA 1-50E,13.0

DIPHENOXYLATE-ATROPINE,16.0

ORENCIA,17.0

COMPRO,13.0

ENBREL,45.0

METIPRANOLOL,12.0

IRBESARTAN,17.0

DIOVAN,27.0

DYAZIDE,12.0

SUTENT,15.0

FELDENE,11.5

ALPRAZOLAM ODT,12.5

OXACILLIN SODIUM,15.0

SULFASALAZINE DR,21.0

ALCLOMETASONE DIPROPIONATE,18.0

TRANEXAMIC ACID,12.0

SAFYRAL,12

TOPCARE ULTRA COMFORT,12.5

MECLOFENAMATE SODIUM,12.0

GABITRIL,13.0

DYMISTA,16.0

PEG-3350 AND ELECTROLYTES,27.0

BETIMOL,12.0

CORVITA,12.0

ENTOCORT EC,12.0

ERYTHROMYCIN ETHYLSUCCINATE,13.0

QSYMIA,11.0

ARBINOXA,13.0

AMTURNIDE,12.0

KELNOR 1-35,13.0

SKELAXIN,12.0

NABI-HB,11

STALEVO 150,13.0

CLICKFINE,15.0

CHORIONIC GONADOTROPIN,12.5

AVONEX PEN,15.0

CEENU,13.0

RESTORIL,13.0

YERVOY,12

NILANDRON,14.5

OXSORALEN-ULTRA,15

ELAPRASE,24

OXYMORPHONE HCL,17.0

CYCLOSPORINE MODIFIED,15.0

FLUTICASONE PROPIONATE,25.0

ATROPINE SULFATE,14.5

DEPO-ESTRADIOL,15.0

SOLU-MEDROL,14.0

MILRINONE LACTATE,22.0

RENACIDIN,11

SPRINTEC,13.0

IXEMPRA,12.5

ACETIC ACID-ALUMINUM,21.0

DEPO-MEDROL,19.0

LEVONEST,12.5

KOMBIGLYZE XR,16.0

ATENOLOL-CHLORTHALIDONE,15.0

TACROLIMUS,21.0

PIPERACILLIN-TAZOBACTAM,15.0

CYCLOPHOSPHAMIDE,13.0

DULOXETINE HCL,13.0

NITROFURANTOIN MONO-MACRO,16.0

EVISTA,18.0

COMBIVENT RESPIMAT,18.0

VGO 40,15.5

BEPREVE,13.0

HALOPERIDOL DECANOATE 100,20.0

KETOPROFEN,18.0

VINCRISTINE SULFATE,17.5

ALYACEN,13.0

CALCIUM-FOLIC ACID PLUS D,12

NORPRAMIN,12.0

AIMSCO ULTRA THIN II,11

FIRMAGON,16.0

METHAMPHETAMINE HCL,12.0

ESCITALOPRAM OXALATE,26.0

AVANDARYL,12.0

NULOJIX,12

HALOPERIDOL DECANOATE,23.0

PAXIL CR,12.0

FENOFIBRATE,17.0

DIGOX,31.0

HUMALOG,27.0

ALPRAZOLAM ER,14.0

LITHIUM,12.0

PROLENSA,19.0

BOSULIF,13.0

SINEMET 25-100,13.0

DOXYCYCLINE MONOHYDRATE,15.0

CALCIPOTRIENE,16.0

TIAGABINE HCL,13.0

EASY TOUCH,15.0

ACTEMRA,18.0

K-PHOS ORIGINAL,11

TUSSIONEX,12.0

VITACIRC-B,11.0

GALANTAMINE HYDROBROMIDE,12.0

PERTZYE,23.0

PHENOBARBITAL,20.0

DILANTIN-125,13.0

BALZIVA,13.0

LIPITOR,14.0

DISOPYRAMIDE PHOSPHATE,12.0

TYLENOL-CODEINE NO.3,12.0

NEORAL,16.5

FOLBEE PLUS,12.5

HAVRIX,30.5

STALEVO 125,13.0

CENTANY AT,11

RESCRIPTOR,12.0

BESIVANCE,18.0

ZOVIA 1-35E,13.0

METHOTREXATE SODIUM,15.0
