medicine,South,Midwest,West,Northeast

b'PRAVASTATIN SODIUM',14030,6327,5895,7268

b'NEXIUM',13849,5008,4247,7276

b'ERYTHROMYCIN ETHYLSUCCINATE',14,7,2,0

b'SANDIMMUNE',10,6,18,5

b'CHLORHEXIDINE GLUCONATE',4212,2966,2814,3934

b'TETANUS-DIPHTERIA-DECAVAC',0,0,0,2

b'ABELCET',1,2,3,3

b'STARLIX',7,1,9,6

b'ALKERAN',2,1,1,1

b'NITROSTAT',4912,2697,2393,2761

b'ZOSYN',8,9,1,4

b'METHITEST',3,1,0,0

b'ELELYSO',1,0,0,1

b'STAVUDINE',82,31,23,59

b'CEPHALEXIN',7483,4964,4541,3338

b'LEXAPRO',306,218,225,370

b'VIMPAT',1192,737,585,676

b'ATOVAQUONE-PROGUANIL HCL',22,17,59,59

b'FOLPLEX 2.2',3,3,0,5

b'SOLU-CORTEF',3,8,3,6

b'TRANXENE T-TAB',3,2,3,5

b'TRIADVANCE',0,1,0,0

b'BRINTELLIX',0,1,0,0

b'DILANTIN-125',9,9,5,8

b'SALAGEN',0,1,0,0

b'GIANVI',18,6,6,21

b'FLECAINIDE ACETATE',1926,1067,1100,819

b'FOSTEUM',0,0,0,1

b'FLURAZEPAM HCL',150,90,152,81

b'APRACLONIDINE HCL',1,0,1,0

b'BUDEPRION SR',69,54,45,98

b'ACTIGALL',1,2,1,4

b'SILVER SULFADIAZINE',541,203,187,451

b'ORTHO-CYCLEN',1,0,0,1

b'CHLOROTHIAZIDE',17,10,6,8

b'HALOPERIDOL',3539,2555,2142,3414

b'SANDOSTATIN',1,1,0,1

b'METOLAZONE',2768,1656,1114,1498

b'ZIRGAN',0,1,0,0

b'GLYBURIDE',2946,1419,1736,2058

b'BUTALBITAL COMPOUND-CODEINE',81,36,44,18

b'NORETHINDRONE ACETATE',59,23,30,37

b'REMERON',27,18,12,37

b'NORTRIPTYLINE HCL',2868,2136,2141,2432

b'LOTEMAX',41,25,20,30

b'NITROFURANTOIN MONO-MACRO',1709,659,860,750

b'CARAFATE',1066,374,338,743

b'PENTOXIFYLLINE',832,344,303,296

b'MESTINON',172,109,69,92

b'FLUTICASONE PROPIONATE',9318,4695,4830,5053

b'EXALGO',264,85,93,94

b'OXANDROLONE',39,13,28,19

b'CHLORPROPAMIDE',4,0,2,2

b'FELDENE',0,0,1,1

b'AMINOCAPROIC ACID',15,10,6,2

b'LOPERAMIDE',522,583,396,643

b'IPRATROPIUM-ALBUTEROL',474,428,316,541

b'LASTACAFT',9,0,3,4

b'NADOLOL-BENDROFLUMETHIAZIDE',4,0,1,2

b'FOSAMAX',4,2,6,18

b'LOVASTATIN',6279,3371,4601,3053

b'NOVOLOG MIX 70-30',851,293,300,436

b'ANADROL-50',0,0,0,1

b'EPZICOM',590,213,253,483

b'NAMENDA XR',555,298,212,240

b'PAREGORIC',4,0,1,1

b'VINCRISTINE SULFATE',2,0,0,0

b'PYRIDOSTIGMINE BROMIDE',906,574,431,460

b'LISINOPRIL',21507,11448,11431,12756

b'DESVENLAFAXINE ER',0,0,0,4

b'CLARITHROMYCIN',937,276,361,373

b'IFEREX 150 FORTE',0,0,0,3

b'NORPACE CR',28,18,13,36

b'ZALTRAP',0,0,1,1

b'GLUMETZA',171,34,65,119

b'EASY TOUCH INSULIN SYRINGE',1,0,1,1

b'DAYTRANA',9,15,1,4

b'PILOCARPINE HCL',517,353,324,257

b'METFORMIN HCL ER',4172,1948,1733,2769

b'GENTAMICIN SULFATE',591,351,279,239

b'ACANYA',0,0,1,0

b'MERREM',1,0,0,0

b'DANTRIUM',3,2,0,2

b'ICAR-C PLUS',2,0,0,0

b'MOVIPREP',1094,465,504,646

b'TIMOPTIC OCUDOSE',0,0,0,3

b'KAPVAY',6,4,0,4

b'BROMDAY',13,4,7,5

b'NIFEDIPINE',31,24,30,24

b'FLOVENT DISKUS',161,91,78,159

b'GAVILYTE-C',316,168,526,182

b'TIMOLOL MALEATE',438,249,297,410

b'GRISEOFULVIN',0,1,0,0

b'HUMALOG MIX 50-50',197,67,56,101

b'MINITRAN',13,8,1,4

b'LEVOFLOXACIN-D5W',8,1,11,6

b'FLUOCINOLONE ACETONIDE OIL',75,46,38,40

b'ACCUPRIL',7,3,2,18

b'FOLBEE',28,17,7,12

b'SAFETYGLIDE INSULIN SYRINGE',2,4,1,3

b'AMMONIUM LACTATE',721,428,131,1323

b'STIVARGA',30,20,11,12

b'CEFUROXIME',1325,499,309,661

b'LIDODERM',2400,1412,1591,2237

b'TWYNSTA',27,5,9,20

b'EPOGEN',8,7,24,19

b'ARBINOXA',2,0,0,0

b'FOLCAL DHA',1,0,0,0

b'NULYTELY WITH FLAVOR PACKS',35,5,11,12

b'VERELAN PM',3,2,1,3

b'PERPHENAZINE',1360,798,857,1870

b'ISRADIPINE',55,15,26,41

b'METHOTREXATE',1989,1260,1073,1258

b'MOXEZA',0,1,0,0

b'TRAVATAN Z',459,279,252,458

b'PEPCID',1,1,2,4

b'TEFLARO',19,16,5,2

b'NUCYNTA ER',188,66,51,77

b'PROAIR HFA',8617,4725,4902,5185

b'CLOPIDOGREL',15185,7585,6831,9408

b'SKELAXIN',9,4,4,2

b'BUTORPHANOL TARTRATE',194,65,60,41

b'XENAZINE',169,126,98,99

b'ALTABAX',0,0,0,1

b'AMLODIPINE-ATORVASTATIN',272,118,76,208

b'INSULIN SYRINGE',2960,1347,1838,1594

b'ORAP',44,50,30,60

b'FOLOTYN',0,1,0,1

b'MYRBETRIQ',140,67,54,105

b'VANOS',1,0,1,3

b'FUROSEMIDE',19527,10438,9682,11933

b'SUPREP',1171,444,458,577

b'ROSADAN',0,1,0,0

b'METHADOSE',0,0,1,1

b'AYGESTIN',0,0,0,1

b'LOTRISONE',0,0,0,1

b'OXYCODONE HCL-ACETAMINOPHEN',4191,1543,1927,2086

b'E.E.S. 200',21,15,12,8

b'BETOPTIC S',8,3,6,9

b'ABRAXANE',1,0,0,4

b'SANDOSTATIN LAR',55,35,32,51

b'CARIMUNE NF NANOFILTERED',2,1,3,5

b'PULMICORT',7,7,1,7

b'POTASSIUM BICARBONATE',4,1,2,0

b'AK-POLY-BAC',2,2,1,2

b'VALTREX',12,1,3,13

b'COLOCORT',3,1,3,2

b'ZYTIGA',472,321,303,281

b'BLEPHAMIDE S.O.P.',1,0,0,0

b'BROMFENAC SODIUM',5,3,6,5

b'INVOKANA',102,34,41,99

b'VENLAFAXINE HCL',2661,1640,1424,1561

b'ALCOHOL PREP SWABS',2,10,4,3

b'NORITATE',2,0,1,0

b'WELLBUTRIN',7,5,5,7

b'REQUIP XL',70,33,48,56

b'DECAVAC',1,0,0,0

b'KORLYM',1,1,0,1

b'METFORMIN HCL',12684,6241,7423,7926

b'TARGRETIN',8,9,7,10

b'RILUTEK',49,34,29,40

b'BOSULIF',5,3,3,5

b'DEMADEX',4,2,2,2

b'ALPRAZOLAM XR',82,27,23,81

b'CLOZAPINE',2392,2367,1972,2948

b'ULTRA-THIN II',4,2,2,0

b'MEPRON',97,32,33,129

b'TAMIFLU',262,144,125,332

b'CEFADROXIL',257,186,45,223

b'FENTANYL',4005,2714,2454,3044

b'FIORINAL',0,0,1,1

b'DENAVIR',4,1,2,4

b'LOVENOX',19,6,95,16

b'BUPROBAN',5,2,2,1

b'SODIUM PHOSPHATE',1,0,1,0

b'VENTAVIS',1,1,0,1

b'TALWIN',1,0,0,0

b'PRAZOSIN HCL',868,837,1186,882

b'CEENU',0,2,3,0

b'CARAC',58,27,17,39

b'TROSPIUM CHLORIDE ER',59,52,50,56

b'EXEMESTANE',943,617,555,686

b'FEMRING',10,4,6,1

b'WELCHOL',1868,678,604,914

b'BD INSULIN SYRINGE ULTRA-FINE',0,1,0,0

b'COLY-MYCIN M PARENTERAL',0,0,1,0

b'CHENODAL',0,1,1,2

b'VISTARIL',0,0,0,1

b'DILT-CD',2,0,1,5

b'EXTINA',1,0,0,0

b'THEO-24',181,79,46,96

b'ZOLINZA',1,0,0,0

b'TRETINOIN',103,54,55,59

b'KELNOR 1-35',4,0,3,4

b'LORCET PLUS',2,1,0,0

b'NAPROXEN SODIUM',347,158,83,188

b'MEROPENEM',118,66,39,36

b'ANAFRANIL',3,1,2,3

b'BUMETANIDE',2876,1713,907,1387

b'LEVITRA',25,4,1,15

b'ZYFLO',1,0,0,1

b'TRIPHROCAPS',18,18,0,14

b'ATROPINE SULFATE',15,16,16,17

b'RETROVIR',0,0,0,2

b'ANAGRELIDE HCL',348,202,164,189

b'FLECTOR',194,55,89,191

b'PROZAC',80,70,51,120

b'TENIVAC',3,1,1,2

b'OXYCODONE HCL-IBUPROFEN',2,0,0,0

b'NEOMYCIN-POLYMYXIN-HYDROCORT',192,76,92,80

b'PREVPAC',8,1,4,11

b'DEXTROAMPHETAMINE SULFATE',419,364,441,391

b'RILUZOLE',16,17,9,19

b'SULFAZINE',226,152,197,118

b'PENICILLIN G SODIUM',2,0,0,0

b'NEOMYCIN-POLYMYXIN-DEXAMETH',75,39,77,35

b'NAFCILLIN SODIUM',22,13,8,8

b'ELIDEL',15,12,11,23

b'CARDIZEM',0,0,0,5

b'NOVOLIN R',772,362,517,344

b'PINDOLOL',225,84,47,138

b'VSL#3 DS',0,0,1,0

b'LITHOBID',33,23,21,37

b'NPLATE',3,2,3,1

b'PRIFTIN',2,1,1,0

b'RIVASTIGMINE',915,515,405,582

b'LAMIVUDINE-ZIDOVUDINE',402,187,148,250

b'OXACILLIN SODIUM',7,7,2,3

b'VOL-CARE RX',3,0,0,3

b'FLUPHENAZINE DECANOATE',448,344,166,377

b'GLIPIZIDE',5684,2435,3639,2982

b'LEUCOVORIN CALCIUM',286,163,182,253

b'TWINRIX',3,4,6,3

b'ALPRAZOLAM',14828,7981,6996,9508

b'CARBAMAZEPINE ER',242,308,188,388

b'PATADAY',290,146,181,231

b'AMPICILLIN TRIHYDRATE',141,75,55,52

b'STIMATE',0,0,1,0

b'NORCO',26,5,21,3

b'HEALTHY ACCENTS UNIFINE PENTIP',5,0,0,7

b'DAPSONE',327,168,119,145

b'TOLAZAMIDE',2,1,4,1

b'AFINITOR',244,136,136,111

b'ISENTRESS',838,384,400,648

b'HYOMAX-SL',0,0,1,0

b'OXALIPLATIN',6,0,4,19

b'RIZATRIPTAN',453,201,195,195

b'HUMATROPE',26,28,28,18

b'XOPENEX HFA',686,374,369,317

b'RISPERIDONE ODT',180,144,81,195

b'ALTAVERA',3,2,0,4

b'K EFFERVESCENT',8,7,1,3

b'FERRALET 90',1,0,0,0

b'BICALUTAMIDE',548,351,391,356

b'MINOCYCLINE HCL',678,536,291,327

b'THIOTHIXENE',905,770,568,841

b'LORAZEPAM INTENSOL',37,39,21,52

b'VGO 40',25,6,1,14

b'BACITRACIN',23,7,8,14

b'CLOTRIMAZOLE',502,284,490,618

b'MICRO-K',0,0,1,0

b'RIBAVIRIN',99,53,59,53

b'PIOGLITAZONE HCL',2958,1435,1839,1817

b'CARBIDOPA-LEVODOPA',3334,2170,2165,2428

b'MACRODANTIN',2,5,3,1

b'REMICADE',47,16,39,35

b'ASTELIN',3,0,0,1

b'MOXATAG',0,0,0,1

b'AUBAGIO',103,75,76,75

b'FOCALIN XR',41,56,18,43

b'LUNESTA',2764,1362,1184,1456

b'CHLORTHALIDONE',1823,1011,964,1316

b'STERI-PAD',0,1,0,0

b'CARBINOXAMINE MALEATE',42,4,1,1

b'TRIZIVIR',155,46,44,108

b'ZITHROMAX',0,1,1,1

b'AZOR',854,213,326,509

b'OXISTAT',4,5,2,12

b'FLONASE',2,0,2,6

b'YAZ',2,1,0,1

b'ORTHO TRI-CYCLEN LO',16,9,12,23

b'JOLIVETTE',8,8,3,8

b'ISONIAZID',120,48,115,67

b'FOSAMAX PLUS D',11,6,18,18

b'PREVIDENT 5000 SENSITIVE',42,13,13,14

b'CARDIOTEK-RX',1,0,0,0

b'CORVITA',0,0,0,3

b'LOTREL',34,14,16,28

b'NIACOR',21,14,30,4

b'NASCOBAL',0,0,1,5

b'FLUOXETINE DR',23,51,16,39

b'FLOVENT HFA',933,836,663,1395

b'FLUOXETINE HCL',10456,6187,6975,7484

b'GLUCOPHAGE',20,9,30,41

b'RIBAPAK',82,17,24,43

b'L-METHYLFOLATE-MECOBALAMIN-NAC',2,0,0,0

b'POLYETHYLENE GLYCOL 3350',4682,2898,2035,3041

b'PLASMA-LYTE A PH 7.4',0,0,0,1

b'PROTONIX IV',5,3,3,2

b'CISPLATIN',1,0,1,3

b'DRISDOL',1,0,0,1

b'GLEEVEC',913,609,479,510

b'CYSTAGON',2,1,0,2

b'CLINIMIX',0,0,1,0

b'MONUROL',18,18,3,8

b'TEGRETOL XR',512,484,294,542

b'CARBOPLATIN',12,0,7,26

b'SINEMET 10-100',1,0,0,1

b'LOPRESSOR HCT',1,0,0,0

b'ZAVESCA',1,1,0,0

b'STALEVO 150',76,29,32,41

b'DIALYVITE',13,10,3,3

b'SUPRAX',11,4,5,5

b'LEFLUNOMIDE',957,654,593,592

b'FINACEA',27,17,20,29

b'TASIGNA',197,134,91,89

b'MENTAX',0,1,0,9

b'AMRIX',13,8,6,12

b'AMIKACIN SULFATE',28,8,22,9

b'PRENATABS FA',3,1,3,0

b'NUCYNTA',254,109,88,139

b'PROCARDIA XL',11,6,7,15

b'DORZOLAMIDE-TIMOLOL',295,146,132,279

b'SYMBICORT',3561,1953,1298,2079

b'TENORETIC 100',1,0,0,0

b'NIZATIDINE',103,68,12,85

b'SERTRALINE HCL',14975,8635,8357,11192

b'BOTOX',40,10,14,43

b'VIDAZA',4,0,1,6

b'METHENAMINE HIPPURATE',169,112,126,240

b'SF',54,44,41,56

b'ENABLEX',302,184,144,245

b'EFFIENT',2267,1017,742,1015

b'ELAPRASE',0,0,0,1

b'EPIDUO',1,2,0,0

b'ANASPAZ',1,0,0,0

b'COLYTE WITH FLAVOR PACKS',23,2,6,3

b'ZIPRASIDONE HCL',3796,2689,2456,2797

b'STALEVO 125',29,8,20,12

b'ESTRADIOL-NORETHINDRONE ACETAT',142,37,72,29

b'NYSTOP',339,362,213,552

b'TESTRED',0,0,1,0

b'DILTIAZEM 24HR CD',4205,2414,1850,2860

b'CEFACLOR',28,10,4,8

b'DEXTROSE IN LACTATED RINGERS',0,0,3,2

b'LEVETIRACETAM',4773,2771,2611,3414

b'CYTARABINE',2,1,0,0

b'VYTORIN',2709,1239,1081,1459

b'ECONAZOLE NITRATE',429,309,489,655

b'LAMOTRIGINE ER',147,93,68,107

b'TAFINLAR',4,1,2,1

b'RIFAMPIN',337,168,188,143

b'AVANDAMET',4,0,0,0

b'ERYPED 200',15,8,4,9

b'LOESTRIN',0,0,0,1

b'PROMETHAZINE-CODEINE',18,36,13,56

b'INSUPEN',6,6,6,0

b'XYLOCAINE-MPF',2,1,0,0

b'HALOPERIDOL DECANOATE',1066,829,587,871

b'PHENYTOIN SODIUM',0,1,0,0

b'CYTOGAM',0,0,1,0

b'CLOBEX',6,8,4,8

b'QUETIAPINE FUMARATE',9800,6054,6794,8491

b'ZOSTAVAX',519,250,267,453

b'BREO ELLIPTA',0,1,0,0

b'CHLOROTHIAZIDE SODIUM',1,0,0,0

b'PRADAXA',3994,2037,1840,2877

b'MENEST',33,8,31,12

b'ACTEMRA',31,9,21,14

b'EXELON',2549,1348,1016,1451

b'TAMOXIFEN CITRATE',1691,1060,960,1075

b'AVELOX ABC PACK',1,0,1,0

b'CLINDAMYCIN PHOSPHATE-D5W',0,0,0,1

b'DULERA',852,429,490,417

b'UCERIS',6,6,0,10

b'HERCEPTIN',4,0,10,22

b'ULTICARE',134,118,91,106

b'ERY-TAB',42,32,16,13

b'OCTREOTIDE ACETATE',29,27,22,32

b'SULAR',5,1,4,6

b'NYSTATIN-TRIAMCINOLONE',707,239,309,590

b'PRED MILD',0,0,0,2

b'SPS',345,160,165,227

b'ARISTOSPAN',0,0,1,0

b'PEN NEEDLE',255,156,94,138

b'DENTAGEL',10,6,5,14

b'KARIVA',7,7,4,8

b'DIALYVITE 5000',1,0,0,0

b'IMIPRAMINE PAMOATE',51,24,11,30

b'PREMPRO',521,177,290,212

b'CORTISPORIN',0,0,1,0

b'XARELTO',4500,2105,1730,2576

b'ROZEREM',281,220,150,183

b'MALATHION',0,2,0,0

b'DAYPRO',0,2,1,1

b'CANDESARTAN CILEXETIL',39,19,14,26

b'MULTIVITAMINS WITH FLUORIDE',0,1,0,0

b'TESTOPEL',0,1,0,0

b'CLONIDINE',1447,592,664,698

b'TREXALL',7,3,6,11

b'PREDNISOLONE',13,7,9,5

b'ERYTHROCIN STEARATE',24,17,10,14

b'PANTOPRAZOLE SODIUM',14326,6280,6606,8357

b'PREVIFEM',11,5,3,6

b'FIRMAGON',0,0,2,1

b'URSO',2,0,2,0

b'STREPTOMYCIN SULFATE',2,0,0,0

b'TEKTURNA',847,301,376,376

b'INTRON A',13,5,9,3

b'PREVIDENT 5000 ENAMEL PROTECT',6,2,5,2

b'ALCOHOL SWAB',15,2,7,6

b'PROPRANOLOL HCL',6664,4133,4069,4306

b'TOPIRAMATE',6590,4141,3465,4586

b'COARTEM',1,0,0,1

b'SECTRAL',1,0,0,3

b'RIOMET',5,1,2,6

b'DORZOLAMIDE HCL',88,51,70,125

b'PENTASA',558,380,236,427

b'TRUEPLUS INSULIN SYRINGE',7,2,15,2

b'BENICAR',3437,1185,1737,2127

b'VITAMIN D2',939,636,151,837

b'DISULFIRAM',44,79,58,60

b'PRECOSE',0,0,1,0

b'EMOQUETTE',2,2,2,6

b'RETIN-A',0,0,13,0

b'WEBCOL',3,0,0,2

b'VENOFER',0,0,0,2

b'FLUOCINOLONE ACETONIDE',99,53,79,115

b'LEVOBUNOLOL HCL',15,16,26,29

b'LITE TOUCH',9,1,0,16

b'ENPRESSE',9,6,1,6

b'GLIPIZIDE-METFORMIN',283,68,57,133

b'INDERAL LA',20,8,9,25

b'METHOTREXATE SODIUM',148,62,45,52

b'FABRAZYME',3,3,3,0

b'QUINAPRIL-HYDROCHLOROTHIAZIDE',237,75,34,187

b'FE C',11,0,0,0

b'TOLBUTAMIDE',6,0,4,0

b'FONDAPARINUX SODIUM',123,71,52,85

b'MULTIGEN PLUS',3,0,0,5

b'GENOTROPIN',32,26,24,10

b'PEG-3350 WITH FLAVOR PACKS',1025,695,538,545

b'CEFDINIR',1344,433,199,207

b'BALSALAZIDE DISODIUM',549,432,295,388

b'DILTIAZEM ER',3685,1610,1914,1480

b'XALATAN',14,0,5,6

b'ITRACONAZOLE',69,54,36,12

b'VALPROIC ACID',1061,688,714,754

b'DESLORATADINE',113,57,29,153

b'RISPERIDONE',7503,5087,5427,6853

b'SYNAREL',0,0,0,1

b'XTANDI',186,119,116,107

b'POTASSIUM CHLORIDE',13925,7407,6517,5713

b'GILDESS',1,1,3,5

b'LISINOPRIL-HYDROCHLOROTHIAZIDE',9795,4276,2981,3742

b'RENVELA',2256,1092,1278,1229

b'AMPHOTERICIN B',3,3,1,1

b'LORYNA',1,1,2,2

b'DIVALPROEX SODIUM',5661,3981,4032,5147

b'DERMA-SMOOTHE-FS',4,1,1,0

b'TRIFLUOPERAZINE HCL',687,531,372,657

b'DICLOFENAC POTASSIUM',316,89,50,102

b'BACTROBAN NASAL',2,9,1,13

b'SALICYLIC ACID',2,0,0,0

b'ADVOCATE PEN NEEDLES',0,1,0,4

b'BUPIVACAINE HCL',1,0,0,0

b'XELJANZ',98,34,35,45

b'SAMSCA',25,7,12,5

"b'PANCRELIPASE 5,000'",23,24,26,19

b'AZILECT',935,484,638,664

b'SINGLE USE SWAB',91,176,137,383

b'REQUIP',13,11,9,20

b'HUMULIN R',900,452,574,507

b'DIPHENHYDRAMINE HCL',125,48,98,100

b'SAFYRAL',0,0,0,1

b'INTELENCE',467,180,202,348

b'LUXIQ',0,1,0,1

b'MEPERITAB',6,0,3,1

b'ZIDOVUDINE',187,69,38,85

b'NALOXONE HCL',1,0,0,1

b'DIBENZYLINE',2,2,3,2

b'CUPRIMINE',9,6,8,9

b'NORTREL',44,26,22,30

b'BLEPHAMIDE',2,1,1,0

b'QSYMIA',3,0,1,3

b'LORTAB',66,8,7,4

b'GEODON',161,120,87,115

b'LESSINA',4,2,0,2

b'SANCTURA XR',13,9,11,5

b'JANUVIA',4827,2207,2447,3964

b'POMALYST',57,39,23,35

b'SPRYCEL',179,97,75,91

b'FINASTERIDE',2462,1262,1779,2316

b'DIFLUNISAL',127,59,50,133

b'STELARA',2,0,0,3

b'STRATTERA',573,718,423,572

b'MONOJECT INSULIN SAFETY SYRNG',14,10,11,15

b'TICLOPIDINE HCL',65,28,14,24

b'NIFEDICAL XL',2023,981,819,1251

b'PAPAVERINE HCL',0,0,2,0

b'ISOSORBIDE DINITRATE',1725,707,877,722

b'RYBIX ODT',1,0,0,0

b'UNITHROID',42,14,5,39

b'PEN NEEDLES',57,27,42,59

b'CALAN SR',4,5,4,5

b'SYEDA',6,2,4,10

b'CALCITONIN-SALMON',496,247,247,384

b'EDECRIN',41,33,33,66

b'TOVIAZ',430,230,198,253

b'CUBICIN',199,108,91,44

b'TOLMETIN SODIUM',5,6,2,4

b'TENORMIN',39,15,12,29

b'IN CONTROL PEN NEEDLE',43,0,0,0

b'DIFLORASONE DIACETATE',10,1,1,21

b'MEDROL',2,3,1,5

b'ZIOPTAN',2,1,1,2

b'VECTICAL',0,0,5,0

b'INSPRA',10,3,4,7

b'ATROVENT HFA',418,258,431,341

b'BUPRENEX',5,1,2,1

b'OXYCODONE CONCENTRATE',0,0,1,1

b'FLURBIPROFEN',56,38,25,49

b'PERIOGARD',12,22,6,22

b'HYZAAR',31,10,16,36

b'VASCEPA',56,13,36,47

b'TRIAMTERENE-HYDROCHLOROTHIAZID',952,525,646,192

b'ORSYTHIA',12,6,2,13

b'VINCASAR PFS',0,0,0,2

b'ZANTAC',6,1,1,9

b'RAMIPRIL',6187,2431,2024,4355

b'FOSRENOL',580,255,315,191

b'PREFEST',3,0,0,3

b'PROSTIGMIN',0,0,1,0

b'ULTRAM ER',9,0,3,1

b'AMIFOSTINE',0,0,0,1

b'FERREX 150 FORTE',5,0,0,4

b'QNASL',16,11,9,28

b'TRAZODONE HCL',13639,7653,8682,9460

b'OXYBUTYNIN CHLORIDE ER',1897,1478,1208,1587

b'ZAFIRLUKAST',254,174,124,150

b'DIPROLENE AF',1,0,0,0

b'HYDROXYZINE HCL',3361,1712,1758,1969

b'LAMICTAL XR',221,131,88,130

b'BUPAP',1,0,0,0

b'DESOXIMETASONE',169,139,59,231

b'FLUVOXAMINE MALEATE',1260,1277,798,1405

b'DETROL',6,1,3,5

b'GENGRAF',68,54,58,26

b'SF 5000 PLUS',253,313,148,435

b'DONEPEZIL HCL ODT',101,50,57,71

b'ESTRADIOL',2982,929,1826,565

b'DOBUTAMINE HCL',4,1,0,0

b'LIPOFEN',63,17,6,32

b'ESTROPIPATE',147,44,70,22

b'XANAX XR',5,3,1,10

b'NEUPRO',433,243,216,234

b'PHRENILIN FORTE',0,1,0,0

b'KALBITOR',2,1,0,1

b'ZOLMITRIPTAN ODT',2,2,3,4

b'LEXIVA',221,85,115,198

b'CABERGOLINE',294,146,125,170

b'PROMACTA',69,32,25,30

b'PEGASYS PROCLICK',131,54,45,55

b'BUPRENORPHINE-NALOXONE',182,109,79,226

b'ELIXOPHYLLIN',2,2,6,4

b'GEMZAR',2,0,0,0

b'COLISTIMETHATE SODIUM',12,4,5,6

b'MOMETASONE FUROATE',251,104,150,328

b'THINPRO INSULIN SYRINGE',1,0,1,1

b'UNIFINE PENTIPS',231,163,159,547

b'GAMMAPLEX',8,2,5,3

b'GAMASTAN S-D',0,0,2,0

b'LUMIZYME',3,0,1,1

b'IMITREX',12,9,17,13

b'EASY COMFORT PEN NEEDLES',0,1,0,1

b'LUMIGAN',308,139,192,273

b'PREVIDENT',96,100,36,114

b'CYTRA-2',26,4,14,17

b'NORA-BE',7,4,3,7

b'CYMBALTA',12994,7236,6925,8358

b'GANCICLOVIR SODIUM',1,0,2,0

b'NAPHAZOLINE HCL',0,0,52,1

b'VALACYCLOVIR',1884,743,779,1240

b'GEMFIBROZIL',3327,1639,1950,1565

b'CEFPODOXIME PROXETIL',49,43,38,116

b'VINORELBINE TARTRATE',1,0,1,2

b'ESTRING',45,16,105,75

b'NEPHROCAPS',5,6,0,3

b'CEFAZOLIN SODIUM',76,56,43,47

b'POLYMYXIN B SULFATE',9,2,0,4

b'PHENOBARBITAL',1610,998,721,1213

b'AVANDARYL',2,0,0,1

b'CORTIFOAM',2,5,4,10

b'FOLTX',1,0,0,1

b'NARATRIPTAN HCL',95,65,59,60

b'CARISOPRODOL COMPOUND-CODEINE',1,0,0,1

b'ADCIRCA',254,126,102,95

b'ACTIVELLA',6,4,11,4

b'RYTHMOL',8,1,3,0

b'LOSARTAN POTASSIUM',14068,7457,8067,9007

b'ASACOL',349,274,175,259

b'ZOVIRAX',39,7,11,53

b'AVELOX IV',1,2,0,0

b'NEUPOGEN',85,35,128,106

b'TIGAN',1,2,0,0

b'XYREM',85,86,39,55

b'ACETIC ACID',28,22,17,29

b'MULTAQ',2171,1064,842,1047

b'DILT-XR',342,322,305,110

b'LEVAQUIN',3,1,1,0

b'AZELEX',1,2,0,1

b'ANTIPYRINE-BENZOCAINE',7,0,4,1

b'OLANZAPINE ODT',730,717,742,813

b'SULFASALAZINE DR',289,198,154,177

b'STAXYN',2,0,1,2

b'BIAXIN',0,0,0,1

b'ACITRETIN',5,3,0,2

b'COMBIVIR',30,5,8,30

b'INTUNIV',60,75,25,43

b'ENALAPRIL MALEATE',6647,3591,2573,5318

b'GALZIN',0,1,0,0

b'ALCOHOL PADS',8,28,4,121

b'AZATHIOPRINE',2223,1641,1186,1068

b'ENJUVIA',22,5,11,6

b'DEXPAK',6,0,0,0

b'UROCIT-K',4,3,3,3

b'NYAMYC',69,130,67,112

b'EVISTA',2134,983,999,1512

b'PERPHENAZINE-AMITRIPTYLINE',252,131,63,134

b'ISTALOL',3,3,4,0

b'TOPROL XL',1962,1619,663,2415

b'FRAGMIN',43,12,29,25

b'PROVIGIL',58,46,35,57

b'FOLGARD RX',0,1,1,6

b'VIRAMUNE',24,10,24,16

b'GUANFACINE HCL',535,420,280,270

b'PYRAZINAMIDE',2,1,2,2

b'REPREXAIN',8,2,1,0

b'FOSINOPRIL SODIUM',1171,435,279,791

b'ABILIFY',6028,4252,4345,5663

b'VECTIBIX',0,0,0,1

b'DEPO-PROVERA',3,1,3,2

